关键词,拆成关键词的关键句,来源句数量
突然,突然爆红的外国女人表情包,1
爆红,突然爆红的外国女人表情包,1
外国,三角符文梗？马里奥电影配音阵容？外国小孩竟拿盗窃当潮流；我真的有这么坏吗？外国超人强？意大利香肠？加菲猫梗好多啊；突然爆红的外国女人表情包,3
女人,突然爆红的外国女人表情包,1
表情包,心情激动表情包的出处是哪里；犀利脸表情包原版是谁；突然爆红的外国女人表情包；网上流传的v3表情包“你妈的为什么”究竟是真是假；群里老发的小可爱表情包出自哪？这Chiikawa是个啥,5
永BAN阿狸条约,,0
鸣潮公式,,0
儿童节段子大赏,,0
儿童节,儿童节段子大赏,1
我来驾驶五条悟,,0
驾驶,我来驾驶五条悟,1
五条悟,我来驾驶五条悟,1
穷哥,,0
新世纪咒术战士,,0
新世纪,新世纪咒术战士,1
咒术,新世纪咒术战士,1
战士,新世纪咒术战士,1
你能在得了痴呆症的情况下通关XXX吗,,0
能在,你能在得了痴呆症的情况下通关XXX吗,1
痴呆症,你能在得了痴呆症的情况下通关XXX吗,1
情况下,你能在得了痴呆症的情况下通关XXX吗,1
通关,你能在得了痴呆症的情况下通关XXX吗,1
谁给我报的名,,0
国内装修视频竟成外网热梗？镀锌方钢！启动！镀锌方钢！再启动,,0
装修,国内装修视频竟成外网热梗？镀锌方钢！启动！镀锌方钢！再启动,1
镀锌,国内装修视频竟成外网热梗？镀锌方钢！启动！镀锌方钢！再启动,1
方钢,国内装修视频竟成外网热梗？镀锌方钢！启动！镀锌方钢！再启动,1
启动,国内装修视频竟成外网热梗？镀锌方钢！启动！镀锌方钢！再启动,1
再启动,国内装修视频竟成外网热梗？镀锌方钢！启动！镀锌方钢！再启动,1
Doge,,0
F1 meme,,0
喜欢XX你就尖叫,,0
尖叫,喜欢XX你就尖叫；尖叫扭曲阴暗地爬行；演唱会尖叫梗图原版是谁；猫meme?尖叫小猫？嘎嘣脆猫？怎么这么多跳舞猫梗；粉丝尖叫？柠檬米字脸？近期外网热梗来咯,5
跳蚤儿子,,0
hero死了,,0
520段子大赏,,0
粉丝尖叫？柠檬米字脸？近期外网热梗来咯,,0
粉丝,我是你XX的粉丝，可以帮你XXX；粉丝尖叫？柠檬米字脸？近期外网热梗来咯,2
柠檬,粉丝尖叫？柠檬米字脸？近期外网热梗来咯,1
米字,粉丝尖叫？柠檬米字脸？近期外网热梗来咯,1
演唱会尖叫梗图原版是谁,,0
原版,演唱会尖叫梗图原版是谁；犀利脸表情包原版是谁,2
搞点动静狗,,0
触发连招,,0
火影忍者手游NSDD,,0
火影忍者,火影忍者手游NSDD,1
手游,火影忍者手游NSDD,1
NSDD,火影忍者手游NSDD,1
演化反差,,0
电竞春晚,,0
格莱美大战优乐美,,0
格莱美,格莱美大战优乐美,1
歌手请战,,0
亚比囧囧囧,,0
复制人,,0
晚安大小姐,,0
犀利脸表情包原版是谁,,0
犀利,犀利脸表情包原版是谁,1
把B站当网盘用,,0
网盘,把B站当网盘用,1
Omg it's XXX,,0
男人中的男人,,0
大菠萝又是个,,0
大菠萝,大菠萝又是个,1
☠️兄弟认为他是高司令,,0
高司令,☠️兄弟认为他是高司令,1
欧多桑！爸爸,,0
DJ猫？干呕猫？悲伤鼠鼠？猫meme大军势不可挡,,0
DJ,DJ猫？干呕猫？悲伤鼠鼠？猫meme大军势不可挡,1
干呕,DJ猫？干呕猫？悲伤鼠鼠？猫meme大军势不可挡,1
悲伤,DJ猫？干呕猫？悲伤鼠鼠？猫meme大军势不可挡,1
鼠鼠,DJ猫？干呕猫？悲伤鼠鼠？猫meme大军势不可挡,1
meme,DJ猫？干呕猫？悲伤鼠鼠？猫meme大军势不可挡；猫meme?尖叫小猫？嘎嘣脆猫？怎么这么多跳舞猫梗,2
大军,DJ猫？干呕猫？悲伤鼠鼠？猫meme大军势不可挡,1
势不可挡,DJ猫？干呕猫？悲伤鼠鼠？猫meme大军势不可挡,1
劳动节段子大赏,,0
劳动节,劳动节段子大赏,1
私人笑声,,0
萨菲罗斯男人中的男人,,0
罗斯,萨菲罗斯男人中的男人,1
人生易如反掌,,0
人生,人生易如反掌；人生重开模拟器；妈妈，人生是旷野,3
易如反掌,人生易如反掌,1
欧金金=奶茶,,0
欧金金,,0
妈妈，人生是旷野,,0
旷野,妈妈，人生是旷野,1
颜如玉,,0
私人音效,,0
游戏方言,,0
越南海贼王,,0
哥布林文学,,0
鸵鸟会XX吗,,0
听不清楚该罚,,0
听不清楚,听不清楚该罚,1
该罚,听不清楚该罚,1
邓超out,,0
俄罗斯meme,,0
不是哥们,,0
东华金龙,,0
You are my sunshine,,0
我爱发明,,0
5:20AM,,0
🖕🏻非常美味谢谢你们🖕🏻,,0
非常美,🖕🏻非常美味谢谢你们🖕🏻,1
谢谢你们,🖕🏻非常美味谢谢你们🖕🏻,1
河南省歌,,0
大香蕉,,0
我真的有这么坏吗？外国超人强？意大利香肠？加菲猫梗好多啊,,0
超人,我真的有这么坏吗？外国超人强？意大利香肠？加菲猫梗好多啊；独步，我的超人,2
意大利,我真的有这么坏吗？外国超人强？意大利香肠？加菲猫梗好多啊,1
香肠,我真的有这么坏吗？外国超人强？意大利香肠？加菲猫梗好多啊,1
加菲猫,我真的有这么坏吗？外国超人强？意大利香肠？加菲猫梗好多啊,1
好多,我真的有这么坏吗？外国超人强？意大利香肠？加菲猫梗好多啊,1
我要迪士尼,,0
Gotta Lock In,,0
谢帝我要迪士尼,,0
迪士尼,谢帝我要迪士尼；迪士尼法务部,2
控告律师,,0
XX或者唱中文歌？又一首中文歌在外网爆火,,0
或者唱,XX或者唱中文歌？又一首中文歌在外网爆火,1
中文,XX或者唱中文歌？又一首中文歌在外网爆火,1
一首,"XX或者唱中文歌？又一首中文歌在外网爆火；说谎的人要吞一千根针,姿态的一首《说谎》直接让耳朵怀孕",2
你的钢门比较松弛,,0
钢门,你的钢门比较松弛,1
比较松,你的钢门比较松弛,1
suno是个啥玩意？这么简单就能生成音乐,,0
suno,suno是个啥玩意？这么简单就能生成音乐,1
玩意,suno是个啥玩意？这么简单就能生成音乐,1
能生,suno是个啥玩意？这么简单就能生成音乐,1
音乐,suno是个啥玩意？这么简单就能生成音乐；外网音乐梗合集！听到口哨声就会有一个男人出现；这才是真正的音乐,3
沟子文学,,0
梗指南首次露脸？！一个机器人终于决定出镜了,,0
首次,梗指南首次露脸？！一个机器人终于决定出镜了,1
露脸,梗指南首次露脸？！一个机器人终于决定出镜了,1
终于,梗指南首次露脸？！一个机器人终于决定出镜了,1
决定出,梗指南首次露脸？！一个机器人终于决定出镜了,1
SU7段子大赏,,0
超yue自我,,0
豪大大鸡排,,0
普通人,,0
学新闻学的,,0
奎桑提的神秘商店,,0
奎桑提,奎桑提的神秘商店；这就是奎桑提,2
神秘商店,奎桑提的神秘商店,1
浓人和淡人又是个,,0
人和,浓人和淡人又是个,1
我打宿傩,,0
超yue自我！不卸原神,,0
yue,超yue自我！不卸原神,1
原神,个人感觉没原神好··画质；超yue自我！不卸原神,2
生气猫、委屈猫,,0
生气猫,生气猫、委屈猫,1
委屈,我能受这委屈吗；生气猫、委屈猫,2
做我的儿子吧,,0
Steam义子,,0
云南打歌,,0
骷髅打金服,,0
打歌,,0
名字超长的外网梗？老外怎么被这种梗给硬控了,,0
名字,名字超长的外网梗？老外怎么被这种梗给硬控了,1
超长,名字超长的外网梗？老外怎么被这种梗给硬控了,1
硬控,名字超长的外网梗？老外怎么被这种梗给硬控了,1
315段子大赏,,0
这还是国内吗,,0
相亲百分百胜率rap,,0
相亲,相亲百分百胜率rap,1
百分百胜率,相亲百分百胜率rap,1
rap,相亲百分百胜率rap,1
时间差不多咯,,0
时间差,时间差不多咯,1
四处征兵的男人,,0
四处,四处征兵的男人,1
征兵,到处征兵的男人；四处征兵的男人,2
到处征兵的男人,,0
全球发音,,0
血洗礼堂？新造的人？周处除三害有,,0
血洗,血洗礼堂？新造的人？周处除三害有,1
礼堂,血洗礼堂？新造的人？周处除三害有,1
新造,血洗礼堂？新造的人？周处除三害有,1
周处,血洗礼堂？新造的人？周处除三害有,1
三害,血洗礼堂？新造的人？周处除三害有,1
姚安娜式搜点,,0
姚安娜,姚安娜式搜点,1
猫meme?尖叫小猫？嘎嘣脆猫？怎么这么多跳舞猫梗,,0
嘎嘣脆,猫meme?尖叫小猫？嘎嘣脆猫？怎么这么多跳舞猫梗,1
怎么这么多,猫meme?尖叫小猫？嘎嘣脆猫？怎么这么多跳舞猫梗,1
杨颖霉霉,,0
兔子洞,,0
不要带走福宝,,0
要带,不要带走福宝,1
二次元先玩马嘉祺的梗,,0
臀部翘到可以顶起XX,,0
臀部,臀部翘到可以顶起XX,1
顶起,翘到可以顶起XX；臀部翘到可以顶起XX,2
哈哈你是我的啦,,0
翘到可以顶起XX,,0
姐弟格斗,,0
扣税国王,,0
扣税“国王,,0
阎王点卯,,0
AI威尔史密斯吃意面,,0
威尔,AI威尔史密斯吃意面；奥斯卡直播事故！威尔史密斯打脸,2
史密斯,AI威尔史密斯吃意面；M1917美国制史密斯维森；奥斯卡直播事故！威尔史密斯打脸,3
意面,AI威尔史密斯吃意面,1
这才是真正的音乐,,0
才是真正,谁才是真正的英雄；这才是真正的音乐,2
春山学,,0
小丑的小曲,,0
春山学？小尼穿帮？十天过去了春晚梗还有人在意吗,,0
春山,春山学？小尼穿帮？十天过去了春晚梗还有人在意吗,1
穿帮,春山学？小尼穿帮？十天过去了春晚梗还有人在意吗,1
十天,春山学？小尼穿帮？十天过去了春晚梗还有人在意吗,1
过去,春山学？小尼穿帮？十天过去了春晚梗还有人在意吗,1
人在,春山学？小尼穿帮？十天过去了春晚梗还有人在意吗,1
应声虫,,0
I Drive,,0
高速运转的机械进入中国,,0
高速运转,高速运转的机械；高速运转的机械进入中国,2
机械,高速运转的机械；高速运转的机械进入中国,2
进入中国,高速运转的机械进入中国,1
高速运转的机械,,0
听不懂思密达？丛林土鳖？请求支援？！这就是梗出没吗,,0
听不懂,听不懂思密达？丛林土鳖？请求支援？！这就是梗出没吗,1
思密达,听不懂思密达？丛林土鳖？请求支援？！这就是梗出没吗,1
丛林,听不懂思密达？丛林土鳖？请求支援？！这就是梗出没吗,1
土鳖,听不懂思密达？丛林土鳖？请求支援？！这就是梗出没吗,1
请求,听不懂思密达？丛林土鳖？请求支援？！这就是梗出没吗,1
支援,听不懂思密达？丛林土鳖？请求支援？！这就是梗出没吗,1
情人节段子大赏,,0
情人节,情人节段子大赏,1
崩溃XX,,0
兄弟，你好香,,0
我有四不吃,,0
我有四不X,,0
XX，男人最好的医美,,0
最好,XX，男人最好的医美,1
医美,XX，男人最好的医美,1
春节段子大赏,,0
春节,春节段子大赏,1
里奥哟西,,0
赛博硅孙,,0
里奥·哟西,,0
马云你听我说,,0
马云,马云你听我说,1
听我说,听我说谢谢你；马云你听我说,2
兄弟你好香,,0
无牙仔跳舞,,0
我真的变成XX了吗,,0
变成,我真的变成XX了吗,1
听泉猫,,0
我太想进步了,,0
太想,我太想进步了,1
进步,我太想进步了,1
2023二次元热梗盘点,,0
外网爆火的恐怖初音,,0
恐怖,外网爆火的恐怖初音,1
贴膜游戏,,0
5W美元定制的涩涩动画竟成外网热梗,,0
5W,5W美元定制的涩涩动画竟成外网热梗,1
美元,5W美元定制的涩涩动画竟成外网热梗,1
定制,5W美元定制的涩涩动画竟成外网热梗,1
涩涩,5W美元定制的涩涩动画竟成外网热梗,1
动画,5W美元定制的涩涩动画竟成外网热梗,1
你真是饿了,,0
山竹醇,,0
我不在乎这些xx不喜欢我,,0
在乎,我不在乎这些xx不喜欢我,1
我爱说实话，铁铁,,0
爱说,我爱说实话，铁铁,1
实话,我爱说实话，铁铁,1
新鲜哥？chipi猫？爆笑猫？芝士汉堡？近期热门猫梗又来啦,,0
新鲜,新鲜哥？chipi猫？爆笑猫？芝士汉堡？近期热门猫梗又来啦,1
chipi,新鲜哥？chipi猫？爆笑猫？芝士汉堡？近期热门猫梗又来啦,1
爆笑,新鲜哥？chipi猫？爆笑猫？芝士汉堡？近期热门猫梗又来啦,1
芝士汉堡,新鲜哥？chipi猫？爆笑猫？芝士汉堡？近期热门猫梗又来啦,1
我爱说实话,,0
鹅猪大战,,0
农场主模拟器,,0
农场主,农场主模拟器,1
模拟器,人生重开模拟器；农场主模拟器,2
紫微星,,0
刘德华解冻,,0
清汤大老爷,,0
还是PVP大佬,,0
闭嘴！我爸爸在XX上班,,0
闭嘴,闭嘴！我爸爸在XX上班,1
爸爸,你爸爸喜欢吃什么；我爸爸在夏威夷教我的；浩浩不能没有爸爸；连我爸爸都没打过我；闭嘴！我爸爸在XX上班,5
上班,闭嘴！我爸爸在XX上班,1
浇给,,0
农业大摸底,,0
龙鸣联赛,,0
我这一生如履薄冰,,0
一生,我这一生如履薄冰,1
薄冰,我这一生如履薄冰,1
中国河狸”居然在外网火了？我失去的东西我一定要拿回来,,0
河狸,中国河狸”居然在外网火了？我失去的东西我一定要拿回来,1
居然在,中国河狸”居然在外网火了？我失去的东西我一定要拿回来,1
失去,中国河狸”居然在外网火了？我失去的东西我一定要拿回来,1
东西,中国河狸”居然在外网火了？我失去的东西我一定要拿回来；刻在NDA里的东西？别刻了DNA都满了；知网是什么东西,3
一定要,中国河狸”居然在外网火了？我失去的东西我一定要拿回来,1
拿回来,中国河狸”居然在外网火了？我失去的东西我一定要拿回来,1
对焦测试员、摇摆拳法,,0
对焦,对焦测试员、摇摆拳法,1
测试员,对焦测试员、摇摆拳法,1
摇摆,对焦测试员、摇摆拳法,1
拳法,对焦测试员、摇摆拳法,1
对焦测试员,,0
霍金奔向萝莉岛,,0
霍金,霍金奔向萝莉岛,1
萝莉,霍金奔向萝莉岛,1
鹰爪功,,0
恐怖米老鼠,,0
古希腊掌管XX的神,,0
古希腊,古希腊掌管XX的神,1
掌管,古希腊掌管XX的神；染上xx和古埃及掌管xx的神,2
突然出现在主页的某吧,,0
主页,突然出现在主页的某吧,1
冷门歌手,,0
南方小土豆,,0
金牌讲师,丁胖子金牌讲师,1
钵~钵鸡,,0
我们的配音是情侣吗？年度梗总结在结尾,,0
配音,三角符文梗？马里奥电影配音阵容？外国小孩竟拿盗窃当潮流；我们的配音是情侣吗？年度梗总结在结尾,2
结尾,我们的配音是情侣吗？年度梗总结在结尾,1
狼王跳舞,,0
三次元桂乃芬,,0
三次元,三次元桂乃芬,1
跨年段子大赏,,0
跨年,跨年段子大赏,1
染上xx和古埃及掌管xx的神,,0
染上,染上xx和古埃及掌管xx的神,1
古埃及,染上xx和古埃及掌管xx的神,1
你染上XX了,,0
超烦蜘蛛侠,,0
2023热梗年度总结,,0
解冻刘德华,,0
被知识侵犯,,0
人人都在爆发的S属性是什么东西,,0
人人,人人都在爆发的S属性是什么东西,1
爆发,人人都在爆发的S属性是什么东西,1
属性,人人都在爆发的S属性是什么东西,1
什么东西,人人都在爆发的S属性是什么东西；杀人篮球是什么东西；杂交叫兽是什么东西；物资掠夺者是什么东西；电子木鱼是什么东西；网课小丑是什么东西,6
丁胖子金牌讲师,,0
胖子,丁胖子金牌讲师,1
16种人格真的能概括70亿人吗,,0
人格,16种人格真的能概括70亿人吗,1
概括,16种人格真的能概括70亿人吗,1
亿人,16种人格真的能概括70亿人吗,1
科目三还是极乐净土？年度之舞是,,0
科目,科目三还是极乐净土？年度之舞是,1
极乐净土,科目三还是极乐净土？年度之舞是,1
之舞,科目三还是极乐净土？年度之舞是,1
恐龙到底能不能扛狼,,0
恐龙,恐龙到底能不能扛狼,1
能扛,恐龙到底能不能扛狼,1
AI尽头是宇宙,,0
九转大肠为什么用的是猪大肠,,0
九转大肠,九转大肠为什么用的是猪大肠；原味九转大肠；顶级厨师九转大肠,3
什么用,九转大肠为什么用的是猪大肠,1
猪大肠,九转大肠为什么用的是猪大肠,1
外网音乐梗合集！听到口哨声就会有一个男人出现,,0
口哨声,外网音乐梗合集！听到口哨声就会有一个男人出现,1
一个男人,外网音乐梗合集！听到口哨声就会有一个男人出现,1
出现,外网音乐梗合集！听到口哨声就会有一个男人出现,1
大叔刷爆朋友圈,,0
大叔,大叔刷爆朋友圈,1
刷爆,大叔刷爆朋友圈；闻会军是谁？竟一夜之间刷爆朋友圈,2
朋友圈,大叔刷爆朋友圈；闻会军是谁？竟一夜之间刷爆朋友圈,2
闻会军是谁？竟一夜之间刷爆朋友圈,,0
一夜之间,闻会军是谁？竟一夜之间刷爆朋友圈,1
返场八一式阿波罗,,0
八一,返场八一式阿波罗,1
阿波罗,返场八一式阿波罗,1
战斗！爽,,0
阿米诺斯,,0
大——声——发,,0
猫猫对话,,0
大方承认吧！您最爱的游戏,,0
大方,大方承认吧！您最爱的游戏,1
承认,大方承认吧！您最爱的游戏；我承认阁下很强,2
最爱,大方承认吧！您最爱的游戏,1
游戏,大方承认吧！您最爱的游戏；我们的游戏正在蒸蒸日上；运营不存在的游戏,3
大声发,,0
完蛋，我被RO玩家包围啦,,0
完蛋,完蛋，我被RO玩家包围啦,1
RO,完蛋，我被RO玩家包围啦,1
迪士尼法务部,,0
法务部,迪士尼法务部,1
忆昔当年泪不干,,0
当年,忆昔当年泪不干,1
乐坛翟天临,,0
赛博灯泡,,0
饺子饺子子饺饺子？饺子！饺子,,0
饺子,饺子饺子子饺饺子？饺子！饺子,1
皮卡堂文学,,0
还有高手,,0
少萝,,0
齿轮骑士,,0
爆火外网的致命公司有,,0
致命,爆火外网的致命公司有,1
公司,爆火外网的致命公司有,1
极品少萝,,0
不要小看我的情报网,,0
要小,不要小看我的情报网,1
情报网,不要小看我的情报网,1
吗喽,,0
连一刻也没有为XX哀悼,,0
一刻,连一刻也没有为XX哀悼；那一刻他变成了光,2
哀悼,连一刻也没有为XX哀悼,1
断头台阿乌拉,,0
断头台,断头台阿乌拉,1
乌拉,断头台阿乌拉,1
高校评分,,0
原来那位战棋老前辈也有梗啊,,0
原来,原来是小别扇；原来那位战棋老前辈也有梗啊,2
老前辈,原来那位战棋老前辈也有梗啊,1
刚满十八岁,,0
唐妞不等式,,0
麦克阿瑟,,0
刘青松圣经,,0
内向父女,,0
东北儿歌,,0
外网也黑五条悟？会赢哦迎来改图热潮,,0
黑五,外网也黑五条悟？会赢哦迎来改图热潮,1
会赢,外网也黑五条悟？会赢哦迎来改图热潮,1
迎来,外网也黑五条悟？会赢哦迎来改图热潮,1
瑶瑶领先,,0
群里老发的小可爱表情包出自哪？这Chiikawa是个啥,,0
群里,群里老发的小可爱表情包出自哪？这Chiikawa是个啥,1
小可爱,群里老发的小可爱表情包出自哪？这Chiikawa是个啥,1
Chiikawa,群里老发的小可爱表情包出自哪？这Chiikawa是个啥,1
刚满18岁,,0
震惊张艺谋,,0
科目三,,0
稀世珍宝,,0
精忠报国,,0
这框真帅吧,,0
稀~世~珍~宝,,0
家长文学,,0
菜就多练,,0
计划有变XXXX,,0
58同城哥,,0
冒充职业选手,,0
冒充,冒充职业选手,1
职业选手,冒充职业选手,1
浩浩不能没有爸爸,,0
浩浩,浩浩不能没有爸爸,1
万梗节,,0
汗流浃背了吧老弟,,0
汗流浃背,汗流浃背了吧老弟,1
老弟,汗流浃背了吧老弟,1
当代华佗,,0
吕布骑狗,,0
骡马假日,,0
导员破防曲,,0
神奇数字马戏团有,,0
神奇数字,神奇数字马戏团有,1
马戏团,神奇数字马戏团有,1
😨震惊张艺谋,,0
jiafei,,0
双11省学,,0
省钱侠,,0
我不吃牛肉,,0
加油啊，1000星琼,,0
OOTD,,0
夜神月推行实名制,,0
夜神月,夜神月推行实名制,1
推行,夜神月推行实名制,1
实名制,夜神月推行实名制,1
Huh猫和吐舌羊,,0
佛山电翰,,0
完颜慧德、拱出去、笑拥了,,0
完颜慧德,完颜慧德、拱出去、笑拥了,1
拱出,完颜慧德、拱出去、笑拥了,1
CF领先十年,,0
CS2的bug成了梗？这下被CF领先了,,0
CS2,CS2的bug成了梗？这下被CF领先了,1
bug,CS2的bug成了梗？这下被CF领先了,1
CF,CS2的bug成了梗？这下被CF领先了,1
领先,CS2的bug成了梗？这下被CF领先了,1
Huh猫,,0
赌狗快摇,,0
伊藤诚：我没意见,,0
伊藤诚,伊藤诚：我没意见,1
意见,伊藤诚：我没意见,1
鳄鱼VS黑人,,0
i人e人,,0
坐杀博徒,,0
萝莉摇,,0
四金一铜,,0
哦嗨哟学妹,,0
乡村海贼王,,0
被外网捧杀的神乐槌,,0
捧杀,被外网捧杀的神乐槌,1
神乐,被外网捧杀的神乐槌,1
逃吧挚爱,,0
危险”萝卜刀,,0
花少北落水,,0
你现在开心了吧,,0
现在,你现在开心了吧；现在是幻想时间,2
开心,你现在开心了吧,1
3+7=8,,0
麦当劳引起的外网骂战梗？这也要政治正确,,0
麦当劳,麦当劳引起的外网骂战梗？这也要政治正确,1
引起,麦当劳引起的外网骂战梗？这也要政治正确,1
骂战,麦当劳引起的外网骂战梗？这也要政治正确,1
政治正确,麦当劳引起的外网骂战梗？这也要政治正确,1
乌蒙山连着山外山,,0
乌蒙山,乌蒙山连着山外山,1
山外山,乌蒙山连着山外山,1
nerd,,0
I人和E人,,0
稳了都稳了，跟上暴叔的节奏,,0
跟上,稳了都稳了，跟上暴叔的节奏,1
节奏,稳了都稳了，跟上暴叔的节奏,1
蓝精灵猫,,0
三国杀XX,,0
帮帮我！XX先生,,0
2.5条悟,,0
墨西哥外星人,,0
墨西哥,墨西哥外星人,1
14发滋崩,,0
左眼忘记你右眼记住你,,0
左眼,左眼忘记你右眼记住你,1
忘记,左眼忘记你右眼记住你,1
右眼,左眼忘记你右眼记住你,1
记住,左眼忘记你右眼记住你,1
奢香夫人,,0
刘德华为什么很少演反派,,0
刘德华,刘德华为什么很少演反派,1
很少,刘德华为什么很少演反派,1
演反派,刘德华为什么很少演反派,1
第一舞见葵葵,,0
Red Flags,,0
我需要更多子弹,,0
需要,我需要更多子弹；星穹铁道真的需要这么多梗吗,2
更多,我需要更多子弹,1
子弹,我需要更多子弹,1
one more thing,,0
哪里贵了,,0
美式男,,0
中铁大案,,0
花西子,,0
变化之神,,0
星空有,,0
请XX无条件归还XX,,0
无条件,请XX无条件归还XX,1
我姓石,,0
稳了,,0
地铁判官,,0
oi,,0
我服了爸爸,,0
遥遥领先,,0
oi电波,,0
嘻哈酷老头,,0
屌丝饮料,,0
每日一题防止聪明,,0
每日,每日一题防止聪明,1
一题,每日一题防止聪明,1
防止,每日一题防止聪明；防止小孩误食,2
聪明,每日一题防止聪明,1
川普大头照竟成外网热梗,,0
川普,川普大头照竟成外网热梗,1
大头照,川普大头照竟成外网热梗,1
我阴暗世界里的小太阳,,0
阴暗,尖叫扭曲阴暗地爬行；我阴暗世界里的小太阳,2
世界里,我阴暗世界里的小太阳,1
小太阳,我阴暗世界里的小太阳,1
24号前24号后,,0
狗罕见,,0
哦嗨哟，学妹,,0
手游圈TF,,0
爱丽丝速通XXX,,0
夏令营兵王,,0
819战斗之夜,,0
中国大力王秀才,,0
大力,中国大力王秀才,1
秀才,中国大力王秀才,1
哈基米,,0
令人不安和令人心安的猫,,0
令人不安,令人不安和令人心安的猫,1
令人,令人不安和令人心安的猫,1
心安,令人不安和令人心安的猫,1
爸爸的雷达,,0
ew ew ew,,0
果真是你,,0
快给我变,,0
尊嘟假嘟,,0
彼瘾犯了,,0
西西弗斯,,0
TF十周年段子大赏,,0
TF,TF十周年段子大赏,1
十周年,TF十周年段子大赏,1
沙勒知名教师,,0
知名,沙勒知名教师,1
教师,沙勒知名教师,1
奔驰打野,,0
这么玩是吧,,0
刺激战场手势舞,,0
刺激,刺激战场手势舞,1
战场,刺激战场手势舞,1
本视频收益全部XX,,0
收益,本视频收益全部XX,1
全部,本视频收益全部XX,1
升舱的钱我来出,,0
升舱,升舱的钱我来出,1
撞火佛祖,,0
GG Bond被抓走了,,0
BW段子大赏,,0
星期一猫猫头,,0
星期一,星期一猫猫头,1
猫猫头,星期一猫猫头,1
恐龙扛狼,,0
一种基于XX的彩虹六号直播方法,,0
一种,一种基于XX的彩虹六号直播方法,1
基于,一种基于XX的彩虹六号直播方法,1
彩虹六号,一种基于XX的彩虹六号直播方法,1
直播,一种基于XX的彩虹六号直播方法；奥斯卡直播事故！威尔史密斯打脸,2
方法,一种基于XX的彩虹六号直播方法,1
贴吧攻陷,,0
命运的齿轮开始转动,,0
命运,命运的齿轮开始转动,1
齿轮,命运的齿轮开始转动,1
开始,命运的齿轮开始转动,1
转动,命运的齿轮开始转动,1
时光代刀人,,0
消失的坤,,0
你爸爸喜欢吃什么,,0
喜欢吃什么,你爸爸喜欢吃什么,1
张博自愿开学,,0
张博,张博自愿开学,1
自愿开学,张博自愿开学,1
逆天寒,,0
Virtual Insanity,,0
鹤岗一套房,,0
彩六直播,,0
日本生可乐,,0
豪情在天,,0
奎桑提圣经,,0
萨卡班甲鱼,,0
张敏便利店,,0
这就是奎桑提,,0
爽滑慢舔,,0
山河大学,,0
杀人奶昔,,0
外网爆火的杀人奶昔,,0
杀人,外网爆火的杀人奶昔；杀人篮球是什么东西,2
奶昔,外网爆火的杀人奶昔,1
陈印泉的废话文学,,0
陈印泉,陈印泉的废话文学,1
废话文学,陈印泉的废话文学,1
鸡你胎没,,0
泰坦号潜艇,,0
鱼越大鱼越小,,0
越大,鱼越大鱼越小,1
越小,鱼越大鱼越小,1
端午节段子大赏,,0
端午节,端午节段子大赏,1
谁问你了,,0
S属性爆发,,0
热带风味冰红茶,,0
热带风味,热带风味冰红茶,1
冰红茶,冰红茶 -东百往事；热带风味冰红茶,2
蜘蛛侠纵横宇宙外网那边有,,0
纵横,蜘蛛侠纵横宇宙外网那边有,1
嗨我是癫佬,,0
京糖夫妇,,0
别管我！叮,,0
柯学,,0
电子宠物,,0
S/M属性大爆发,,0
肌肉波特,,0
瑞你看见了吗,,0
🤣👉 神之一指,,0
弱智吧有,,0
🤣👉？挖呀挖？带崽青蛙？五月梗查缺补漏,,0
挖呀挖,🤣👉？挖呀挖？带崽青蛙？五月梗查缺补漏,1
青蛙,🤣👉？挖呀挖？带崽青蛙？五月梗查缺补漏,1
五月,🤣👉？挖呀挖？带崽青蛙？五月梗查缺补漏,1
补漏,🤣👉？挖呀挖？带崽青蛙？五月梗查缺补漏,1
我黑不黑怕关你屁事,,0
关你屁事,我黑不黑怕关你屁事,1
我有一道自制的小菜,,0
一道,我有一道自制的小菜,1
自制,我有一道自制的小菜,1
小菜,我有一道自制的小菜,1
普通话考试最后一题,,0
普通话,普通话考试最后一题,1
考试,普通话考试最后一题,1
最后一题,普通话考试最后一题,1
曹操撤回了一碗饭,,0
曹操,曹操撤回了一碗饭,1
撤回,曹操撤回了一碗饭,1
一碗饭,曹操撤回了一碗饭,1
劳改蛋,,0
披萨塔尖叫,,0
你人还怪好嘞,,0
人还怪好嘞,你人还怪好嘞,1
平底锅文学,,0
你管得着吗,,0
英雄联盟史上最牛b的采访,,0
英雄联盟,英雄联盟史上最牛b的采访；英雄联盟设计师；英雄联盟马服,3
史上最,英雄联盟史上最牛b的采访,1
采访,英雄联盟史上最牛b的采访；采访第一个出考场的XX,2
原神哥喜提冠军皮肤？为什么他会选择崩坏3里的爱莉希雅呢,,0
原神哥,原神哥喜提冠军皮肤？为什么他会选择崩坏3里的爱莉希雅呢,1
喜提,原神哥喜提冠军皮肤？为什么他会选择崩坏3里的爱莉希雅呢；鹿哥喜提二手车,2
冠军,原神哥喜提冠军皮肤？为什么他会选择崩坏3里的爱莉希雅呢；淄博冠军王喜顺,2
会选,原神哥喜提冠军皮肤？为什么他会选择崩坏3里的爱莉希雅呢,1
崩坏,原神哥喜提冠军皮肤？为什么他会选择崩坏3里的爱莉希雅呢,1
爱莉希雅,原神哥喜提冠军皮肤？为什么他会选择崩坏3里的爱莉希雅呢,1
林克竞选弱智吧主,,0
林克,林克竞选弱智吧主,1
